id,self_employment_type,branch,age,gender,period,self_empl_persons,avg_personal_income,avg_self_empl_income
14424,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2011,1.1,31.6,18.1
14425,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2012,1.1,33.0,18.8
14426,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2013,1.2,34.8,18.9
14427,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2014,1.2,29.9,18.0
14428,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2015,1.2,28.2,17.2
14429,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2016,1.3,30.2,18.4
14430,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2017,1.4,36.1,21.1
14431,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2018,1.5,36.2,21.0
14432,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Male,2019,1.6,43.0,22.9
14438,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2011,0.2,29.3,21.6
14439,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2012,0.2,30.3,20.5
14440,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2013,0.3,31.3,20.6
14441,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2014,0.2,28.3,17.0
14442,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2015,0.3,33.8,17.1
14443,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2016,0.3,26.2,15.3
14444,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2017,0.4,27.6,18.1
14445,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2018,0.4,29.5,16.6
14446,1st_category_group,"Agriculture, forestry and fishing",75 years or older,Female,2019,0.5,31.6,18.0
14466,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2011,2.0,29.9,28.8
14467,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2012,2.0,30.0,27.5
14468,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2013,2.1,31.6,29.7
14469,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2014,2.2,32.3,29.8
14470,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2015,2.3,32.8,28.9
14471,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2016,2.4,34.7,31.2
14472,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2017,2.6,39.1,34.8
14473,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2018,2.7,37.9,34.1
14474,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2019,2.8,40.1,35.0
14475,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Male,2020,2.7,41.8,33.9
14480,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2011,0.2,18.9,17.5
14481,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2012,0.2,18.6,18.0
14482,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2013,0.2,19.9,18.6
14483,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2014,0.2,22.7,19.7
14484,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2015,0.3,21.7,18.5
14485,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2016,0.3,23.4,21.1
14486,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2017,0.3,28.2,22.7
14487,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2018,0.4,27.4,23.8
14488,1st_category_group,"Agriculture, forestry and fishing",Younger than 25 years,Female,2019,0.4,28.2,25.4
14508,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2011,7.0,33.9,32.9
14509,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2012,6.8,35.9,32.5
14510,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2013,6.8,38.9,34.1
14511,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2014,6.7,39.0,34.2
14512,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2015,6.8,38.0,33.2
14513,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2016,6.7,42.2,35.4
14514,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2017,6.8,46.4,39.6
14515,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2018,7.0,44.7,39.0
14516,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2019,7.3,48.4,40.6
14517,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Male,2020,7.4,46.0,39.2
14522,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2011,1.9,20.4,16.9
14523,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2012,1.8,21.9,17.5
14524,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2013,1.7,21.9,19.1
14525,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2014,1.7,23.2,19.7
14526,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2015,1.7,22.2,19.3
14527,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2016,1.7,25.0,20.4
14528,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2017,1.8,29.2,23.7
14529,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2018,1.9,28.8,24.2
14530,1st_category_group,"Agriculture, forestry and fishing",25 to 34 years,Female,2019,2.0,30.3,25.4
14550,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2011,15.8,36.7,34.4
14551,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2012,14.7,38.8,34.8
14552,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2013,13.7,41.8,37.1
14553,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2014,12.8,42.6,37.3
14554,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2015,11.7,40.9,35.0
14555,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2016,10.9,47.2,38.1
14556,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2017,10.1,55.9,44.4
14557,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2018,9.5,51.7,42.2
14558,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2019,9.1,55.1,43.4
14559,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Male,2020,8.8,51.7,41.8
14564,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2011,7.3,23.9,21.4
14565,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2012,6.8,26.0,21.9
14566,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2013,6.3,26.9,23.8
14567,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2014,5.8,26.9,24.1
14568,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2015,5.4,25.8,21.4
14569,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2016,5.0,28.4,23.7
14570,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2017,4.9,36.2,30.7
14571,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2018,4.6,34.4,28.6
14572,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2019,4.4,37.3,30.6
14573,1st_category_group,"Agriculture, forestry and fishing",35 to 44 years,Female,2020,4.2,34.4,28.0
14592,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2011,17.8,38.3,33.1
14593,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2012,18.2,37.7,32.6
14594,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2013,18.3,40.1,35.5
14595,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2014,18.5,40.0,35.2
14596,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2015,18.7,39.2,32.7
14597,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2016,18.7,43.4,35.5
14598,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2017,18.4,52.9,42.6
14599,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2018,17.9,50.7,40.9
14600,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2019,17.3,54.5,43.1
14601,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Male,2020,16.3,51.1,41.6
14606,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2011,9.4,25.5,22.4
14607,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2012,9.3,26.4,22.5
14608,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2013,9.5,27.7,24.6
14609,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2014,9.4,27.6,24.8
14610,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2015,9.3,27.5,22.5
14611,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2016,9.5,30.7,25.0
14612,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2017,9.5,38.3,31.8
14613,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2018,9.1,37.1,29.9
14614,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2019,8.7,39.5,32.2
14615,1st_category_group,"Agriculture, forestry and fishing",45 to 54 years,Female,2020,8.2,37.0,30.9
14634,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2011,12.2,37.5,30.0
14635,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2012,12.1,34.6,28.8
14636,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2013,12.3,37.0,30.8
14637,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2014,12.6,35.9,30.4
14638,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2015,12.9,34.6,28.2
14639,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2016,13.6,37.8,30.7
14640,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2017,14.2,44.9,35.9
14641,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2018,14.9,44.6,34.9
14642,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2019,15.5,46.3,36.5
14643,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Male,2020,16.2,43.0,35.1
14648,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2011,7.0,22.8,17.1
14649,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2012,6.8,22.9,17.2
14650,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2013,6.7,22.9,18.6
14651,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2014,6.8,22.4,18.4
14652,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2015,6.9,21.8,16.7
14653,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2016,7.1,24.3,18.9
14654,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2017,7.5,29.9,24.3
14655,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2018,7.8,29.8,24.0
14656,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2019,8.1,33.3,25.6
14657,1st_category_group,"Agriculture, forestry and fishing",55 to 64 years,Female,2020,8.3,29.5,24.1
14676,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2011,3.6,47.1,35.5
14677,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2012,3.7,43.6,35.1
14678,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2013,3.9,42.6,35.6
14679,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2014,4.0,41.8,35.6
14680,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2015,4.1,41.9,34.5
14681,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2016,4.3,43.8,34.2
14682,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2017,4.8,48.6,37.8
14683,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2018,5.2,46.5,36.6
14684,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2019,5.5,47.2,37.3
14685,1st_category_group,"Agriculture, forestry and fishing",65 to 74 years,Male,2020,5.8,44.2,36.1
