id,self_employment_type,branch,background,gender,period,self_empl_persons,avg_personal_income,avg_self_empl_income
14718,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2011,57.1,37.5,32.7
14719,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2012,56.2,37.4,32.2
14720,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2013,55.9,39.7,34.6
14721,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2014,55.4,39.5,34.4
14722,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2015,55.1,38.3,32.0
14723,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2016,55.2,42.4,34.6
14724,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2017,55.5,50.0,40.4
14725,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2018,55.6,47.9,38.8
14726,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2019,55.6,50.7,40.5
14727,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Male,2020,55.2,47.5,38.9
14732,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2011,26.4,24.4,20.5
14733,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2012,25.7,25.5,20.5
14734,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2013,25.4,26.1,22.3
14735,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2014,25.0,25.9,22.2
14736,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2015,24.7,25.4,20.0
14737,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2016,25.0,28.0,22.3
14738,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2017,25.5,34.4,28.4
14739,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2018,25.3,33.4,26.7
14740,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2019,25.2,36.1,28.7
14741,1st_category_group,"Agriculture, forestry and fishing",Netherlands,Female,2020,24.8,33.1,26.8
14760,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2011,1.3,34.2,26.6
14761,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2012,1.4,30.4,25.4
14762,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2013,1.4,35.8,26.6
14763,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2014,1.4,32.6,27.0
14764,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2015,1.4,32.6,27.7
14765,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2016,1.5,35.6,28.1
14766,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2017,1.6,37.2,30.8
14767,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2018,1.8,37.2,31.0
14768,1st_category_group,"Agriculture, forestry and fishing",Western,Male,2019,2.0,40.1,32.4
14774,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2011,1.1,20.2,17.1
14775,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2012,1.1,20.6,18.4
14776,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2013,1.1,21.8,19.3
14777,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2014,1.0,22.7,20.1
14778,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2015,1.1,21.6,19.5
14779,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2016,1.1,23.0,20.6
14780,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2017,1.1,25.6,22.5
14781,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2018,1.3,26.2,24.0
14782,1st_category_group,"Agriculture, forestry and fishing",Western,Female,2019,1.4,27.1,25.0
14802,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2011,1.1,32.0,30.2
14803,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2012,1.2,31.6,30.4
14804,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2013,1.2,31.1,29.9
14805,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2014,1.2,30.6,30.2
14806,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2015,1.2,31.8,31.3
14807,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2016,1.2,33.6,32.6
14808,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2017,1.3,34.6,33.4
14809,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2018,1.4,35.9,34.2
14810,1st_category_group,"Agriculture, forestry and fishing",Non-western,Male,2019,1.5,37.1,35.0
14816,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2011,0.2,20.4,17.4
14817,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2012,0.2,18.8,18.0
14818,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2013,0.2,17.1,16.2
14819,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2014,0.2,15.0,16.9
14820,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2015,0.2,18.1,16.8
14821,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2016,0.2,19.2,16.0
14822,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2017,0.2,22.4,19.0
14823,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2018,0.2,22.2,18.7
14824,1st_category_group,"Agriculture, forestry and fishing",Non-western,Female,2019,0.3,22.9,20.1
16315,1st_category_group,Mining and quarrying,Netherlands,Male,2012,0.1,79.5,67.5
16316,1st_category_group,Mining and quarrying,Netherlands,Male,2013,0.1,83.7,71.9
16317,1st_category_group,Mining and quarrying,Netherlands,Male,2014,0.1,87.6,74.9
16318,1st_category_group,Mining and quarrying,Netherlands,Male,2015,0.1,85.4,69.7
16319,1st_category_group,Mining and quarrying,Netherlands,Male,2016,0.1,77.1,68.0
16320,1st_category_group,Mining and quarrying,Netherlands,Male,2017,0.1,76.8,64.7
16321,1st_category_group,Mining and quarrying,Netherlands,Male,2018,0.1,81.2,66.8
16322,1st_category_group,Mining and quarrying,Netherlands,Male,2019,0.1,76.2,67.9
17910,1st_category_group,Manufacturing,Netherlands,Male,2011,29.2,47.9,42.7
17911,1st_category_group,Manufacturing,Netherlands,Male,2012,29.2,47.2,41.7
17912,1st_category_group,Manufacturing,Netherlands,Male,2013,29.1,47.0,41.1
17913,1st_category_group,Manufacturing,Netherlands,Male,2014,29.6,48.6,43.0
17914,1st_category_group,Manufacturing,Netherlands,Male,2015,30.0,50.2,44.1
17915,1st_category_group,Manufacturing,Netherlands,Male,2016,30.5,52.5,46.2
17916,1st_category_group,Manufacturing,Netherlands,Male,2017,30.3,54.0,46.7
17917,1st_category_group,Manufacturing,Netherlands,Male,2018,31.2,54.7,48.4
17918,1st_category_group,Manufacturing,Netherlands,Male,2019,32.0,55.3,49.2
17919,1st_category_group,Manufacturing,Netherlands,Male,2020,31.9,55.5,48.7
17924,1st_category_group,Manufacturing,Netherlands,Female,2011,9.6,23.9,18.6
17925,1st_category_group,Manufacturing,Netherlands,Female,2012,9.4,23.8,18.1
17926,1st_category_group,Manufacturing,Netherlands,Female,2013,9.1,23.4,17.6
17927,1st_category_group,Manufacturing,Netherlands,Female,2014,9.2,24.1,18.1
17928,1st_category_group,Manufacturing,Netherlands,Female,2015,9.2,25.2,18.7
17929,1st_category_group,Manufacturing,Netherlands,Female,2016,9.0,26.7,20.0
17930,1st_category_group,Manufacturing,Netherlands,Female,2017,9.0,27.1,19.9
17931,1st_category_group,Manufacturing,Netherlands,Female,2018,9.0,28.1,20.8
17932,1st_category_group,Manufacturing,Netherlands,Female,2019,9.0,28.1,20.9
17933,1st_category_group,Manufacturing,Netherlands,Female,2020,8.7,29.5,21.6
17952,1st_category_group,Manufacturing,Western,Male,2011,2.5,42.2,36.4
