id,self_employment_type,branch,position_in_household,gender,period,self_empl_persons,avg_personal_income,avg_self_empl_income
14844,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2011,41.2,45.2,37.7
14845,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2012,40.5,44.5,37.5
14846,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2013,40.7,46.8,39.4
14847,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2014,40.0,46.7,39.5
14848,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2015,39.1,46.4,38.0
14849,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2016,39.5,50.2,40.0
14850,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2017,40.8,56.9,44.8
14851,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2018,40.4,55.0,43.6
14852,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2019,40.5,57.9,45.0
14853,1st_category_group,"Agriculture, forestry and fishing",Main earner,Male,2020,39.9,53.9,43.7
14858,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2011,6.7,37.3,31.8
14859,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2012,6.6,38.3,30.9
14860,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2013,6.5,38.5,33.0
14861,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2014,6.4,38.2,32.8
14862,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2015,6.4,37.1,30.0
14863,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2016,6.5,40.1,32.4
14864,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2017,6.8,48.5,40.1
14865,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2018,6.8,46.8,36.7
14866,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2019,7.2,50.3,39.0
14867,1st_category_group,"Agriculture, forestry and fishing",Main earner,Female,2020,7.4,45.6,37.2
14886,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2011,6.1,39.4,33.5
14887,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2012,6.2,39.0,32.4
14888,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2013,6.2,41.1,34.2
14889,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2014,6.3,41.9,34.2
14890,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2015,6.4,39.2,32.9
14891,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2016,6.5,42.1,34.5
14892,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2017,6.7,48.4,39.0
14893,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2018,6.9,48.1,38.1
14894,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2019,7.2,50.9,39.3
14895,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Male,2020,7.4,48.1,38.0
14900,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2011,0.8,34.0,29.9
14901,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2012,0.8,41.7,29.5
14902,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2013,0.8,37.8,29.6
14903,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2014,0.8,36.5,29.5
14904,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2015,0.9,37.7,27.9
14905,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2016,0.9,36.0,27.8
14906,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2017,1.0,40.6,31.0
14907,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2018,1.1,43.1,30.5
14908,1st_category_group,"Agriculture, forestry and fishing",Main earner without partner,Female,2019,1.2,45.3,31.5
14928,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2011,35.0,46.2,38.3
14929,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2012,34.3,45.5,38.2
14930,1st_category_group,"Agriculture, forestry and fishing",Main earner with partner,Male,2013,34.5,47.9,40.2
